,MovieName,Star1,Star2,Star3,Star4,Genre1,Genre2,Genre3,Gross_Collection,Certification,votes
156,"Aguirre, the Wrath of God", Klaus Kinski, Ruy Guerra, Helena Rojo, Del Negro,Action, Adventure, Biography,Nan,Not Rated ,"59,060"
157,Batman: Mask of the Phantasm, Kevin Conroy, Dana Delany, Hart Bochner, Stacy Keach,Animation, Action, Adventure,5.62,PG ,"53,438"
158,Cowboy Bebop: The Movie, Beau Billingslea, Melissa Fahn, Nicholas Guest, Kôichi Yamadera,Animation, Action, Crime,1.00,TV-14 ,"50,609"
159,Minnal Murali, Tovino Thomas, Guru Somasundaram, Aju Varghese, Baiju,Action, Comedy, Drama,Nan,TV-14 ,"31,026"
160,The Killer, Chow Yun-Fat, Danny Lee, Sally Yeh, Kong Chu,Action, Crime, Drama,Nan,R ,"49,548"
161,Knockin' on Heaven's Door, Til Schweiger, Jan Josef Liefers, Thierry van Werveke, Moritz Bleibtreu,Action, Crime, Comedy,0.00,Not Rated ,"32,051"
162,Avatar: The Way of Water, Sam Worthington, Zoe Saldana, Sigourney Weaver, Stephen Lang,Action, Adventure, Fantasy,659.68,PG-13 ,"381,462"
163,Kingsman: The Secret Service, Colin Firth, Taron Egerton, Samuel L. Jackson, Michael Caine,Action, Adventure, Comedy,128.26,R ,"685,482"
164,Black Hawk Down, Josh Hartnett, Ewan McGregor, Tom Sizemore, Eric Bana,Action, Drama, History,108.64,R ,"406,725"
165,Mission: Impossible - Fallout, Tom Cruise, Henry Cavill, Ving Rhames, Simon Pegg,Action, Adventure, Thriller,220.16,PG-13 ,"344,423"
166,3:10 to Yuma, Russell Crowe, Christian Bale, Ben Foster, Logan Lerman,Action, Crime, Drama,53.61,R ,"319,986"
167,The Count of Monte Cristo, Jim Caviezel, Guy Pearce, Christopher Adamson, JB Blanc,Action, Adventure, Drama,54.23,PG-13 ,"142,465"
168,The Dirty Dozen, Lee Marvin, Ernest Borgnine, Charles Bronson, John Cassavetes,Action, Adventure, War,45.30,Approved ,"75,997"
169,The Last of the Mohicans, Daniel Day-Lewis, Madeleine Stowe, Russell Means, Eric Schweig,Action, Adventure, Drama,75.51,R ,"177,338"
170,Goldfinger, Sean Connery, Gert Fröbe, Honor Blackman, Shirley Eaton,Action, Adventure, Thriller,51.08,PG ,"195,487"
171,Man on Fire, Denzel Washington, Christopher Walken, Dakota Fanning, Radha Mitchell,Action, Crime, Drama,77.91,R ,"371,720"
172,Training Day, Denzel Washington, Ethan Hawke, Scott Glenn, Tom Berenger,Action, Crime, Drama,76.63,R ,"449,748"
173,The Lego Movie, Chris Pratt, Will Ferrell, Elizabeth Banks, Will Arnett,Animation, Action, Adventure,257.76,PG ,"368,504"
174,X-Men: First Class, James McAvoy, Michael Fassbender, Jennifer Lawrence, Kevin Bacon,Action, Sci-Fi,Nan,146.41,PG-13 ,"704,352"
175,First Blood, Sylvester Stallone, Brian Dennehy, Richard Crenna, Bill McKinney,Action, Adventure, Thriller,47.21,R ,"262,016"
176,The Magnificent Seven, Yul Brynner, Steve McQueen, Charles Bronson, Eli Wallach,Action, Adventure, Drama,4.91,Approved ,"98,157"
177,Star Trek Into Darkness, Chris Pine, Zachary Quinto, Zoe Saldana, Benedict Cumberbatch,Action, Adventure, Sci-Fi,228.78,PG-13 ,"489,077"
